Czas	Masa[g]
2026-01-13 09:34:39.947134	0.050
2026-01-13 09:34:40.040604	0.050
2026-01-13 09:34:40.167044	0.050
2026-01-13 09:34:40.222565	0.050
2026-01-13 09:34:40.350799	0.050
2026-01-13 09:34:40.420507	0.050
2026-01-13 09:34:40.533292	0.050
2026-01-13 09:34:40.599938	0.050
2026-01-13 09:34:40.668120	0.050
2026-01-13 09:34:40.783595	0.050
2026-01-13 09:34:40.850350	0.050
2026-01-13 09:34:40.973737	0.050
2026-01-13 09:34:41.040207	0.050
2026-01-13 09:34:41.158436	0.050
2026-01-13 09:34:41.220830	0.050
2026-01-13 09:34:41.291701	0.050
2026-01-13 09:34:41.415125	0.050
2026-01-13 09:34:41.477198	0.050
2026-01-13 09:34:41.600797	0.050
2026-01-13 09:34:41.664605	0.050
2026-01-13 09:34:41.785356	0.050
2026-01-13 09:34:41.847026	0.050
2026-01-13 09:34:41.970795	0.050
2026-01-13 09:34:42.043599	0.050
2026-01-13 09:34:42.105297	0.050
2026-01-13 09:34:42.228088	0.050
2026-01-13 09:34:42.284608	0.050
2026-01-13 09:34:42.413827	0.050
2026-01-13 09:34:42.476181	0.050
2026-01-13 09:34:42.599762	0.050
2026-01-13 09:34:42.664603	0.050
2026-01-13 09:34:42.784916	0.050
2026-01-13 09:34:42.867441	0.050
2026-01-13 09:34:42.908485	0.050
2026-01-13 09:34:43.037800	0.050
2026-01-13 09:34:43.099383	0.050
2026-01-13 09:34:43.236338	0.050
2026-01-13 09:34:43.302693	0.050
2026-01-13 09:34:43.369287	0.050
2026-01-13 09:34:43.502710	0.050
2026-01-13 09:34:43.568896	0.050
2026-01-13 09:34:43.630674	0.050
2026-01-13 09:34:43.755213	0.050
2026-01-13 09:34:43.817429	0.050
2026-01-13 09:34:43.942184	0.050
2026-01-13 09:34:44.004245	0.050
2026-01-13 09:34:44.128797	0.050
2026-01-13 09:34:44.191187	0.050
2026-01-13 09:34:44.314798	0.050
2026-01-13 09:34:44.387274	0.050
2026-01-13 09:34:44.448750	0.050
2026-01-13 09:34:44.570153	0.050
2026-01-13 09:34:44.630815	0.050
2026-01-13 09:34:44.761736	0.050
2026-01-13 09:34:44.827123	0.050
2026-01-13 09:34:44.943900	0.050
2026-01-13 09:34:45.009298	0.050
2026-01-13 09:34:45.070941	0.050
2026-01-13 09:34:45.202531	0.050
2026-01-13 09:34:45.259600	0.050
2026-01-13 09:34:45.387011	0.050
2026-01-13 09:34:45.444324	0.050
2026-01-13 09:34:45.574374	0.050
2026-01-13 09:34:45.633141	0.050
2026-01-13 09:34:45.754862	0.050
2026-01-13 09:34:45.815311	0.050
2026-01-13 09:34:45.885209	0.050
2026-01-13 09:34:46.007836	0.050
2026-01-13 09:34:46.069774	0.050
2026-01-13 09:34:46.194195	0.050
2026-01-13 09:34:46.256776	4.450
2026-01-13 09:34:46.380221	59.950
2026-01-13 09:34:46.452916	132.850
2026-01-13 09:34:46.566323	124.050
2026-01-13 09:34:46.628664	45.950
2026-01-13 09:34:46.697373	3.650
2026-01-13 09:34:46.818475	0.050
2026-01-13 09:34:46.879844	0.050
2026-01-13 09:34:47.006739	0.050
2026-01-13 09:34:47.073453	0.050
2026-01-13 09:34:47.139731	0.050
2026-01-13 09:34:47.256779	0.050
2026-01-13 09:34:47.324370	0.050
2026-01-13 09:34:47.441679	0.050
2026-01-13 09:34:47.503037	0.050
2026-01-13 09:34:47.627376	0.050
2026-01-13 09:34:47.699404	0.050
2026-01-13 09:34:47.825597	0.050
2026-01-13 09:34:47.885302	0.050
2026-01-13 09:34:48.009095	0.050
2026-01-13 09:34:48.071176	0.050
2026-01-13 09:34:48.133718	0.050
2026-01-13 09:34:48.257761	0.050
2026-01-13 09:34:48.319825	0.050
2026-01-13 09:34:48.444513	0.050
2026-01-13 09:34:48.506275	0.050
2026-01-13 09:34:48.629494	0.050
2026-01-13 09:34:48.692182	0.050
2026-01-13 09:34:48.815826	0.050
2026-01-13 09:34:48.877177	0.050
2026-01-13 09:34:48.949583	0.050
2026-01-13 09:34:49.073761	0.050
2026-01-13 09:34:49.135973	0.050
2026-01-13 09:34:49.259927	0.050
2026-01-13 09:34:49.321994	0.050
2026-01-13 09:34:49.445829	0.050
2026-01-13 09:34:49.507829	0.050
2026-01-13 09:34:49.631263	0.050
2026-01-13 09:34:49.693083	0.050
2026-01-13 09:34:49.754664	0.050
2026-01-13 09:34:49.878510	0.050
2026-01-13 09:34:49.940226	0.050
2026-01-13 09:34:50.073806	0.050
2026-01-13 09:34:50.129707	0.050
2026-01-13 09:34:50.259569	0.050
2026-01-13 09:34:50.321178	0.050
2026-01-13 09:34:50.383807	0.050
2026-01-13 09:34:50.508144	0.050
2026-01-13 09:34:50.570229	0.050
2026-01-13 09:34:50.693962	0.050
2026-01-13 09:34:50.755764	0.050
2026-01-13 09:34:50.880178	0.050
2026-01-13 09:34:50.952472	0.050
2026-01-13 09:34:51.065824	0.050
2026-01-13 09:34:51.128501	0.050
2026-01-13 09:34:51.198118	0.050
2026-01-13 09:34:51.327819	0.050
